Variable,Units,S1-01,S1-02,S1-03,S1-04,S1-05,S2-01,S2-02,S2-03,S2-04,S2-05,S2-06,S2-07,S2-08,S3-01,S3-02,S3-03,S3-04,S3-05
pH,Standard unit,8.54,8.52,7.81,7.25,7.51,8.02,7.51,7.23,7.48,7.15,7.89,7.41,7.50,7.17,7.25,6.88,7.02,7.21
Conductivity,ÂµS cm-1,125.1,113.2,107.8,126.8,104.8,92.9,97.7,104.2,109.8,80.6,79.6,89.0,109.5,89.2,98.7,89.8,125.1,104.9
Dissolved oxygen,mg L-1,4.11,6.44,7.07,5.51,7.40,7.43,7.12,4.54,3.47,8.22,8.56,7.07,8.52,7.54,4.59,3.20,6.24,5.68
Total alkalinity,mg CaCO3 L-1,18.4,18.4,12.0,17.1,11.7,10.5,11.7,19.2,17.1,17.2,17.6,14.5,20.0,11.7,15.0,12.8,18.9,13.4
Total hardness,mg CaCO3 L-1,24.6,25.2,29.5,29.5,31.8,16.9,34.9,28.1,23.3,25.6,29.6,22.4,28.9,23.9,29.2,25.3,39.4,20.1
Nitrate(NO3-),mg L-1,0.061,0.058,0.040,0.060,0.130,0.060,0.070,0.080,0.140,0.080,0.100,0.110,0.090,0.140,0.120,0.140,0.150,0.040
Dissolved phosphorus,mg L-1,0.05,0.04,0.05,0.07,0.06,0.04,0.05,0.06,0.08,0.06,0.06,0.02,0.03,0.03,0.05,0.02,0.08,0.02
Dissolved potassium,mg L-1,2.628,3.135,4.965,1.985,1.960,3.650,2.290,2.650,1.840,3.200,3.080,3.810,2.040,4.080,2.150,4.330,3.150,2.010
Total phosphorus,mg L-1,0.08,0.08,0.08,0.11,0.11,0.11,0.10,0.08,0.08,0.10,0.08,0.09,0.09,0.08,0.11,0.09,0.09,0.11
Total potassium,mg L-1,2.687,3.643,5.892,2.641,2.900,5.110,3.270,3.780,2.740,4.890,4.180,5.020,2.550,6.440,2.580,5.100,4.500,2.770
BOD,mg L-1,7,8,8,9,7,8,11,9,8,9,7,6,7,5,7,6,9,8
COD,mg L-1,11,19,13,13,11,14,21,17,15,12,9,9,9,14,15,14,12,19
